movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Blind Detective,194523,tt2332707,Andy Lau,16.233,Sammi Cheng,4.63,Guo Tao,3.531,Gao Yuanyuan,11.371,Lo Hoi-pang,1.512
Broken City,98357,tt1235522,Mark Wahlberg,49.465,Russell Crowe,20.111,Catherine Zeta-Jones,18.474,Jeffrey Wright,26.649,Barry Pepper,22.121
Inside Llewyn Davis,86829,tt2042568,Oscar Isaac,60.716,Carey Mulligan,14.494,John Goodman,20.197,Garrett Hedlund,4.582,Justin Timberlake,7.076
Serial Teachers,325844,tt3713944,Kev Adams,7.184,Isabelle Nanty,9.095,Didier Bourdon,5.984,Pierre-François Martin-Laval,2.192,Arnaud Ducret,5.11
Mud,103731,tt1935179,Matthew McConaughey,20.491,Reese Witherspoon,14.224,Tye Sheridan,21.473,Jacob Lofland,11.938,Sam Shepard,6.017
Midsummer's Equation,204702,tt2412556,Masaharu Fukuyama,5.688,Yuriko Yoshitaka,11.7,Kazuki Kitamura,9.654,Anne Watanabe,7.691,Jun Fubuki,2.547
Kevin Hart: Let Me Explain,181330,tt2609912,Kevin Hart,14.271,David Terrell,1.4,David Jason Perez,1.214,Justine Herron,1.414,Harry Ratchford,1.044
Pokémon,447404,tt5884052,Justice Smith,14.942,Ryan Reynolds,40.796,Kathryn Newton,15.268,Bill Nighy,22.155,Ken Watanabe,19.69
The After-Dinner Mysteries,257327,tt2188560,Keiko Kitagawa,14.696,Sho Sakurai,2.836,Kippei Shiina,5.071,Masatoshi Nakamura,2.555,Nanami Sakuraba,6.016
Underdogs,230015,tt2123342,Natalie Imbruglia,3.72,D. B. Sweeney,11.883,Joe Namath,3.938,Melora Walters,13.296,William Mapother,8.83
Spring Breakers,122081,tt2101441,James Franco,11.754,Vanessa Hudgens,20.546,Ashley Benson,9.605,Selena Gomez,16.258,Rachel Korine,4.152
New World,382272,tt5058340,Masahiro Higashide,7.689,Sosuke Ikematsu,3.121,Masaki Suda,9.285,Erika Toda,9.266,Mina Fujii,6.71
101 Proposals,168998,tt1674766,Huang Bo,13.595,Lin Chiling,8.389,Godfrey Gao,6.44,Qin Hailu,6.719,Tetsuya Takeda,1.698
A Wedding Invitation,195921,tt2910520,Bai Baihe,3.959,Eddie Peng,11.8,Pace Wu,2.585,Jiang Jinfu,1.847,Lin Mei-shiu,2.148
Silent Witness,102931,tt1942972,Dermot Mulroney,22.46,Anne Heche,17.125,Judd Hirsch,4.804,Michael Cudlitz,7.135,Anthony Ruivivar,6.776
